link,diff
https://leetcode.com/problems/majority-element-ii,Medium
https://leetcode.com/problems/kth-smallest-element-in-a-bst,Medium
https://leetcode.com/problems/power-of-two,Easy
https://leetcode.com/problems/implement-queue-using-stacks,Easy
https://leetcode.com/problems/number-of-digit-one,Hard
https://leetcode.com/problems/palindrome-linked-list,Easy
https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree,Medium
https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,Medium
https://leetcode.com/problems/delete-node-in-a-linked-list,Medium
https://leetcode.com/problems/product-of-array-except-self,Medium
https://leetcode.com/problems/sliding-window-maximum,Hard
https://leetcode.com/problems/search-a-2d-matrix-ii,Medium
https://leetcode.com/problems/different-ways-to-add-parentheses,Medium
https://leetcode.com/problems/valid-anagram,Easy
https://leetcode.com/problems/binary-tree-paths,Easy
https://leetcode.com/problems/add-digits,Easy
https://leetcode.com/problems/single-number-iii,Medium
https://leetcode.com/problems/trips-and-users,Hard
https://leetcode.com/problems/ugly-number,Easy
https://leetcode.com/problems/ugly-number-ii,Medium
https://leetcode.com/problems/missing-number,Easy
https://leetcode.com/problems/integer-to-english-words,Hard
https://leetcode.com/problems/h-index,Medium
https://leetcode.com/problems/h-index-ii,Medium
https://leetcode.com/problems/first-bad-version,Easy
https://leetcode.com/problems/perfect-squares,Medium
https://leetcode.com/problems/expression-add-operators,Hard
https://leetcode.com/problems/move-zeroes,Easy
https://leetcode.com/problems/peeking-iterator,Medium
https://leetcode.com/problems/find-the-duplicate-number,Medium
https://leetcode.com/problems/game-of-life,Medium
https://leetcode.com/problems/word-pattern,Easy
https://leetcode.com/problems/nim-game,Easy
https://leetcode.com/problems/find-median-from-data-stream,Hard
https://leetcode.com/problems/serialize-and-deserialize-binary-tree,Hard
https://leetcode.com/problems/bulls-and-cows,Medium
https://leetcode.com/problems/longest-increasing-subsequence,Medium
https://leetcode.com/problems/remove-invalid-parentheses,Hard
https://leetcode.com/problems/range-sum-query-immutable,Easy
https://leetcode.com/problems/range-sum-query-2d-immutable,Medium
https://leetcode.com/problems/additive-number,Medium
https://leetcode.com/problems/range-sum-query-mutable,Medium
https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown,Medium
https://leetcode.com/problems/minimum-height-trees,Medium
https://leetcode.com/problems/burst-balloons,Hard
https://leetcode.com/problems/super-ugly-number,Medium
https://leetcode.com/problems/count-of-smaller-numbers-after-self,Hard
https://leetcode.com/problems/remove-duplicate-letters,Medium
https://leetcode.com/problems/maximum-product-of-word-lengths,Medium
https://leetcode.com/problems/bulb-switcher,Medium
https://leetcode.com/problems/create-maximum-number,Hard
https://leetcode.com/problems/coin-change,Medium
https://leetcode.com/problems/wiggle-sort-ii,Medium
https://leetcode.com/problems/power-of-three,Easy
https://leetcode.com/problems/count-of-range-sum,Hard
https://leetcode.com/problems/odd-even-linked-list,Medium
https://leetcode.com/problems/longest-increasing-path-in-a-matrix,Hard
https://leetcode.com/problems/patching-array,Hard
https://leetcode.com/problems/verify-preorder-serialization-of-a-binary-tree,Medium
https://leetcode.com/problems/reconstruct-itinerary,Hard
https://leetcode.com/problems/increasing-triplet-subsequence,Medium
https://leetcode.com/problems/self-crossing,Hard
https://leetcode.com/problems/palindrome-pairs,Hard
https://leetcode.com/problems/house-robber-iii,Medium
https://leetcode.com/problems/counting-bits,Easy
https://leetcode.com/problems/flatten-nested-list-iterator,Medium
https://leetcode.com/problems/power-of-four,Easy
https://leetcode.com/problems/integer-break,Medium
https://leetcode.com/problems/reverse-string,Easy
https://leetcode.com/problems/reverse-vowels-of-a-string,Easy
https://leetcode.com/problems/top-k-frequent-elements,Medium
https://leetcode.com/problems/intersection-of-two-arrays,Easy
https://leetcode.com/problems/intersection-of-two-arrays-ii,Easy
https://leetcode.com/problems/data-stream-as-disjoint-intervals,Hard
https://leetcode.com/problems/russian-doll-envelopes,Hard
https://leetcode.com/problems/design-twitter,Medium
https://leetcode.com/problems/count-numbers-with-unique-digits,Medium
https://leetcode.com/problems/max-sum-of-rectangle-no-larger-than-k,Hard
https://leetcode.com/problems/water-and-jug-problem,Medium
https://leetcode.com/problems/valid-perfect-square,Easy
https://leetcode.com/problems/largest-divisible-subset,Medium
https://leetcode.com/problems/sum-of-two-integers,Medium
https://leetcode.com/problems/super-pow,Medium
https://leetcode.com/problems/find-k-pairs-with-smallest-sums,Medium
https://leetcode.com/problems/guess-number-higher-or-lower,Easy
https://leetcode.com/problems/guess-number-higher-or-lower-ii,Medium
https://leetcode.com/problems/wiggle-subsequence,Medium
https://leetcode.com/problems/combination-sum-iv,Medium
https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix,Medium
https://leetcode.com/problems/insert-delete-getrandom-o1,Medium
https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed,Hard
https://leetcode.com/problems/linked-list-random-node,Medium
https://leetcode.com/problems/ransom-note,Easy
https://leetcode.com/problems/shuffle-an-array,Medium
https://leetcode.com/problems/mini-parser,Medium
https://leetcode.com/problems/lexicographical-numbers,Medium
https://leetcode.com/problems/first-unique-character-in-a-string,Easy
https://leetcode.com/problems/longest-absolute-file-path,Medium
https://leetcode.com/problems/find-the-difference,Easy
https://leetcode.com/problems/elimination-game,Medium
https://leetcode.com/problems/perfect-rectangle,Hard
https://leetcode.com/problems/is-subsequence,Easy
https://leetcode.com/problems/utf-8-validation,Medium
https://leetcode.com/problems/decode-string,Medium
https://leetcode.com/problems/longest-substring-with-at-least-k-repeating-characters,Medium
https://leetcode.com/problems/rotate-function,Medium
https://leetcode.com/problems/integer-replacement,Medium
https://leetcode.com/problems/random-pick-index,Medium
https://leetcode.com/problems/evaluate-division,Medium
https://leetcode.com/problems/nth-digit,Medium
https://leetcode.com/problems/binary-watch,Easy
https://leetcode.com/problems/remove-k-digits,Medium
https://leetcode.com/problems/frog-jump,Hard
https://leetcode.com/problems/sum-of-left-leaves,Easy
https://leetcode.com/problems/convert-a-number-to-hexadecimal,Easy
https://leetcode.com/problems/queue-reconstruction-by-height,Medium
https://leetcode.com/problems/trapping-rain-water-ii,Hard
https://leetcode.com/problems/longest-palindrome,Easy
https://leetcode.com/problems/split-array-largest-sum,Hard
https://leetcode.com/problems/fizz-buzz,Easy
https://leetcode.com/problems/arithmetic-slices,Medium
https://leetcode.com/problems/third-maximum-number,Easy
https://leetcode.com/problems/add-strings,Easy
https://leetcode.com/problems/partition-equal-subset-sum,Medium
https://leetcode.com/problems/pacific-atlantic-water-flow,Medium
https://leetcode.com/problems/battleships-in-a-board,Medium
https://leetcode.com/problems/strong-password-checker,Hard
https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array,Medium
https://leetcode.com/problems/reconstruct-original-digits-from-english,Medium
https://leetcode.com/problems/longest-repeating-character-replacement,Medium
https://leetcode.com/problems/construct-quad-tree,Medium
https://leetcode.com/problems/n-ary-tree-level-order-traversal,Medium
https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list,Medium
https://leetcode.com/problems/all-oone-data-structure,Hard
https://leetcode.com/problems/minimum-genetic-mutation,Medium
