link,tags,diff,submission
https://codeforces.com/problemset/problem/2001/C,"binary search, brute force, dfs and similar, divide and conquer, dsu, greedy, interactive, trees",1500.0, x10389
https://codeforces.com/problemset/problem/2001/B,constructive algorithms,800.0, x23638
https://codeforces.com/problemset/problem/2001/A,"greedy, implementation",800.0, x28962
https://codeforces.com/problemset/problem/2000/H,"binary search, brute force, data structures, implementation",2200.0, x1591
https://codeforces.com/problemset/problem/2000/G,"binary search, brute force, graphs, greedy, shortest paths",2100.0, x2168
https://codeforces.com/problemset/problem/2000/F,"dp, greedy, implementation, math",1900.0, x5178
https://codeforces.com/problemset/problem/2000/E,"combinatorics, data structures, greedy, math",1400.0, x12814
https://codeforces.com/problemset/problem/2000/D,"greedy, implementation, two pointers",1200.0, x22150
https://codeforces.com/problemset/problem/2000/C,"data structures, strings",1000.0, x24577
https://codeforces.com/problemset/problem/2000/B,two pointers,800.0, x32875
https://codeforces.com/problemset/problem/2000/A,"implementation, math, strings",800.0, x36146
https://codeforces.com/problemset/problem/1999/G2,"binary search, interactive, ternary search",1700.0, x7586
https://codeforces.com/problemset/problem/1999/G1,"binary search, interactive",1500.0, x9879
https://codeforces.com/problemset/problem/1999/F,"combinatorics, math",1500.0, x9953
https://codeforces.com/problemset/problem/1999/E,"dp, implementation, math",1300.0, x18001
https://codeforces.com/problemset/problem/1999/D,"greedy, implementation, strings",1100.0, x26182
https://codeforces.com/problemset/problem/1999/C,"greedy, implementation",800.0, x34240
https://codeforces.com/problemset/problem/1999/B,"brute force, constructive algorithms, implementation",1000.0, x31203
https://codeforces.com/problemset/problem/1999/A,"implementation, math",800.0, x50587
https://codeforces.com/problemset/problem/1998/E2,"binary search, brute force, data structures, divide and conquer, greedy, implementation",2500.0, x665
https://codeforces.com/problemset/problem/1998/E1,"binary search, brute force, data structures, divide and conquer, greedy",2200.0, x1763
https://codeforces.com/problemset/problem/1998/D,"data structures, dp, graphs, greedy, shortest paths",2100.0, x3183
https://codeforces.com/problemset/problem/1998/C,"binary search, brute force, constructive algorithms, greedy, implementation",1900.0, x5953
https://codeforces.com/problemset/problem/1998/B,"constructive algorithms, math, number theory",1000.0, x23083
https://codeforces.com/problemset/problem/1998/A,"constructive algorithms, implementation, math",800.0, x23516
https://codeforces.com/problemset/problem/1997/F,"brute force, combinatorics, dp, greedy, math",2700.0, x861
https://codeforces.com/problemset/problem/1997/E,"binary search, brute force, data structures, divide and conquer, implementation",2200.0, x3029
https://codeforces.com/problemset/problem/1997/D,"binary search, dfs and similar, dp, greedy, trees",1500.0, x12143
https://codeforces.com/problemset/problem/1997/C,"constructive algorithms, data structures, greedy",1100.0, x21437
https://codeforces.com/problemset/problem/1997/B,"constructive algorithms, two pointers",1100.0, x20186
